,log,cluster
977,All he want is a Redskins hat & a game!! U got it Boo!!,2
978,"Redskins in first place, we making moves this season 😁",2
979,@mcroc I certainly want #Seahawks to beat #Redskins #NYGiants need to re-tool. Old friend works for #Niners so have to be with them....,2
980,ITS A GOOD DAY TO BE A REDSKINS FAN #HTTR #HAILYEAH,2
981,RT @Kidd_vic98: Some people are already sucking the Redskins . Chill out and give your mouth a break from sucking. lol,2
982,@ggold3 you owe Washington Redskins fans a huge apology http://t.co/B7ALLt7k,2
983,"Jerry Jones has ‘no thoughts’ of replacing Garrett
http://t.co/jdUaxDjj  #NFL #Cowboys",2
984,@Mister88 #HTTR hey. Great day to be a Redskins fan.,2
985,#Redskins have 4 WRs over 500 yards....talk about balance,2
986,"RT @PostSports: Knee injury limits RGIII's athleticism, but not his ability to lead the #Redskins' offense: http://t.co/NPb6rNvQ #NFL",2
987,"RT @PostSports: Jason Reid's analysis from #Redskins - #Eagles: Now that RGIII has shown what's possible, his teammates have responded:  ...",2
988,@Carlsonsports @neilreynoldsnfl redskins or cowboys? #week16 #HTTR,2
989,RT @funnydanny: Hanging out this morning with @PeteMedhurst from 10-2 on 106.7 The Fan. Whole bunch of Redskins & Christmas.,2
990,Former @purpleraiders WR @PierreGarcon had 7 catches for 89 yards in #redskins 27-20 win over #eagles #nfl #d3fb,2
991,RT @jaimiegraham: We all remember 2nd Dallas game in 05! MT @_JakeRussell Redskins have won 4 division games for the 1st time since 2005 ...,2
992,NFL Washington... http://t.co/yVk2xDPb,2
993,"Jerry Jones has ‘no thoughts’ of replacing Garrett
 jdUaxDjj   NFL #Cowboys  http://t.co/RvgJq7lI",2
994,"Who gives a fuck rt “@TheRedzoneorg: Jerry Jones has ‘no thoughts’ of replacing Garrett
http://t.co/8fyeCj2C  #NFL #Cowboys”",2
995,per @kffl - Redskins | Robert Griffin effective throwing the deep ball http://t.co/tAuTmSAm,2
996,RT @pabloviruega: Dallas con victoria vs Wash es Camp Divisional xq irían al criterio de desempate de récord vs rivales comunes y Dal le ...,2
997,RT @SuperSkin1: Fans of NFC East teams other than the #Redskins:  Bow down.  Santa can't bring you anything that we don't already own.   ...,2
998,"NFL: Cowboys can't rely on shorthanded defense - Injuries, new players at key positions and missed plays too much to... http://t.co/o0pAMo0s",2
999,redskins win against the eagles 27-20,6
1000,"week 17 power rankings:
1. Falcons
2. Broncos
3. Patriots
4. Packers
5. Texans
6. 49ers
7. Seahawks
8. Redskins
9. Bengals
10. Ravens
#NFL",2
1001,Cowboys will NOT beat the Redskins.,2
1002,@Holdenradio the build up.  I'm 25. I've never bore witness to a Redskins game of this magnitude.,2
1003,RT @REAL_KC_: But this Redskins Cowboys game next week will be good,2
1004,#fantasyfootball: Robert Griffin III returns to lead Washington Redskins over Philadelphia Eagles http://t.co/BiS4LQ8n,2
1005,RT @Ro_Gunnz: Cowboys will NOT beat the Redskins.,2
1006,Can't wait till Sunday night #redskins,4
1007,Time expires on Philadelphia Eagles' head coach Andy Reid in loss to Redskins http://t.co/HvWbnGzW,2
1008,NewarkStarLedger: Time expires on Philadelphia Eagles' head coach Andy Reid in loss to Redskins  http://t.co/Tm8juWd8,2
1009,RT @firsttake_va: Who wins cowboys/redskins???,4
1010,"random
nfl
#random thought: Randy Moss to the Cowboys? #nfl",2
1011,RT @PostSports: More on #Redskins vs. #Cowboys being moved to prime time on NBC next Sunday: http://t.co/fzAeP5fi #NFL,4
1012,@SportsCenter @dallascowboys @Redskins  and I was good this year too,2
1013,@SportsCenter @dallascowboys @redskins he lost yesterday to NO.,2
1014,@SportsCenter @dallascowboys @redskins can their defense step up #GotSmokedYesterday,2
1015,#NFL news: Redskins | Robert Griffin effective throwing the deep ball http://t.co/M2IBuWCc,2
1016,@SportsCenter @dallascowboys @Redskins any given Sunday,2
1017,Redskins going to the playoffs just sounds weird,2
1018,"@leekindell go Redskins
#RGIII",2
1019,"@SportsCenter @dallascowboys @Redskins lets be honest, there's no way",2
1020,NFC east champs = REDSKINS @RGIII @PierreGarcon,2
1021,RT @StevenPhibbons: Redskins going to the playoffs just sounds weird,2
1022,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/JBwK3zha,2
1023,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/hiYinsb8,2
1024,Redskins would likely face Seahawks or 49ers if they make NFL playoffs http://t.co/RjLpZlju,2
1025,"RT @NFLCheerRT: FACT: Dallas Cowboys Cheerleaders account has 46K followers. NFL Cardinals team 39K. 
#DCC #socialmedia #strategy #Cowbo ...",2
1026,Would love to @Wale get at @RealSkipBayless again on @ESPN_FirstTake before this weekend gm. Wake redskins vs skip cowboys,2
1027,@SportsCenter @dallascowboys @Redskins not gonna happen #RG3,2
1028,@jrehor basically. Cowboys redskins and giants are all possible too.,2
1029,I could stare at this all day. #Redskins #Dallasweek http://t.co/gHhP4IUI,2
1030,"@nshev16 pity about new england ! I thought they'd cover handicap! I just done €20 treble on Colts, Redskins and @ChicagoBears at 6/4! #NFL",2
1031,"@SportsCenter @dallascowboys #Jaws, from your lips to God's Ears!! ""Dear Santa all I want for Christmas is a #Cowboys win over the #Skins!""",2
1032,@SportsCenter @dallascowboys @redskins the espn love fest with certain players is comical.,2
1033,@ThereseB_DC whoops... sorry.  really ccouldnt see!!!!  Im glad you didnt put her in a Redskins sweater.... a christmas miracle!!!,2
1034,"The way Tony Romo is playing right now leads me to believe he can go into Washington & win that game, rg3 watch out@dallascowboys-@Redskins.",2
1035,@SportsCenter @dallascowboys @redskins when has Tony Romo ever played the same in consecutive weeks? You never know what to expect-Dez too,2
1036,I've noticed alot of redskins and broncos fans lately,2
1037,@RhonaA_CocaCola This #Cowboys fan predicts a big #Redskins win next week. Dallas defense is injury riddled + poorly coached. RGIII romps.,2
1038,"Redskins Beat Eagles, Take NFC East Lead: Robert Griffin III and the Washington Redskins beat the Ph... http://t.co/2Vh9pSps",2
1039,"“@beachrockinc: @SportsCenter @dallascowboys @redskins he lost yesterday to NO.” Yes, but beat Eagles twice & Steelers once! Don't hate!!!",2
1040,@SportsCenter @dallascowboys @redskins romo is the MVP of choking when it counts #RGIII,2
1041,"Tony Romo, Dallas Cowboys Playoff Dreams Still Alive - Fox News: ESPNTony Romo, Dallas Cowboys Pla... http://t.co/n18GGgQ1 #cowboys #nfl",2
1042,[Trending on Google] * Happy Holidays * Santa Tracker * NFL playoff picture * Dallas Cowboys * Russell Wilson * Sound of Music * Bruno...,2
1043,"@SportsCenter @dallascowboys @redskins Maybe but hope he actually shows up to this big game, usually doesn't?",2
1044,RT @MSteng01: All we want for Christmas is a playoff ticket!!! #redskins #rg3 #portis #bringitDallas http://t.co/KDo3KRKm,2
1045,NFL: Rams 28-13 Bucaneros; Cincinnati 13-10 Pittsburgh; Washington 27-20 Filadelfia; San Diego 27-17 Jets HechosAM http://t.co/sW4cOSIh,2
1046,Cowboys-Redskins flexed to Sunday Night Football in Week 17 http://t.co/CHH64mkL via @ProFootballTalk,4
1047,"""@ESPNNFL: BREAKING: Cowboys at Redskins flexed to Sunday Night Football on NBC - 820pm ET"" it should be americas game of the week",4
1048,RT @Toppersweather: “@WUSA9Sports: @AdamSchefter reporting that #Cowboys at #Redskins has been flexed to primetime @wusa9 @GameOnWUSA” B ...,2
1049,"RT @CP_KCallahan: Nick #Foles said the end of game illegal forward pass was ""on him"" after 27-20 loss to Redskins, sounding like Reid ht ...",2
1050,@dskillz1911 you must want every Redskins fan at your door with torches and pitchforks.,2
1051,Robert Griffin III returns as Redskins close in on NFC East title http://t.co/PRovb3hi,2
1052,"@SportsCenter the way @dallascowboys is playing leads me to believe, as a @redskins fan, I have nothing to worry about #HTTR",2
1053,@SportsCenter @dallascowboys @redskins forgot to add- said no one ever,2
1054,@SportsCenter @dallascowboys @redskins but the cowboys lost......,2
1055,"If this doesn't cheer you up, I don't know what will. #Redskins http://t.co/YKSmH6HS",2
1056,@_PurpKobain Us lose to the cardinals? Picture that. Lol You a redskins fan?,2
1057,the redskins and cowboys game got moved to Sunday night! lolol,4
1058,MT @wmata: Metrorail to stay open an extra hour for Sunday's rescheduled Redskins game http://t.co/mIx6T6zJ #wmata #redskins,2
1059,BREAKING NEWS - NFL WAS - Can clinch NFC East title for first time since 1999 with win at home next Sunday vs. Cowboys HYFR let's go skins,2
1060,Dallas Cowboys vs. Washington Redskins Preview and Predictions http://t.co/ZBOsTgdF,2
1061,@DezBryant kill the redskins for me!,2
1062,@EnyOzz Merry Christmas #Redskins,2
1063,Xmas Eve 🎅🎄🎁 kicks off Cowboys/Redskins week. #BigGame,2
1064,Hail Redskins next week!!!!,8
1065,"@beachrockinc @SportsCenter @dallascowboys @Redskins How ""HE"" lost?? The man did everything in his power! He cant play defense to!!",2
1066,@CariChampion it's really looking like the redskins!,2
1067,@TheRealDemarco Been busy with shopping and watching #Redskins. how  about you,2
1068,@LaVitaTuff I asked Jesus to bless me with a redskins lost nxt week,2
1069,@SportsCenter @dallascowboys @redskins sad but true. However cowboys are the least clutch team I have ever seen. They will choke.,2
1070,"“Looks like Seattle plays the winner of the Cowboys vs Redskins game, which is for the NFC East title, in the playoffs. Road game for Sea.”",2
1071,“@CowboysDaily: NFL flexes Dallas Cowboys-Washington Redskins game http://t.co/iWeI4Vzt” @jcfigueroa022,2
1072,RT @AngiejMason: Redskins Hats sold out in Atlanta because of RG3....smh!!,2
1073,"@efcviking true dat, jut can't see them making it tho, afc teams have been pretty poor this year, + redskins have been solid with rg3",2
1074,Redskins in (before kickoff Sunday night) if Bears and Vikings lose.,4
1075,To think the redskins started off 3-6 I don't like them but they earned a lil respect,2
1076,Dear Santa...all I want for X-mas is a Dallas Cowboys Victory over these OVERRATED Redskins ....punctuated with a... http://t.co/w8wQi2b9,2
1077,@ESPN_FirstTake #Redskins #HTTR,2
1078,"RT @Redskins: Mission ""#BeatPhilly for Six Straight Wins"" Accomplished! #HTTR #RedskinsNation http://t.co/tvcjiGeQ",2
1079,@SNFonNBC HAIL @RGIII ! #NFL #REDSKINS #SKINS #HTTR #WashDC #DMV #DC #RG3 #NFCEast #DALLAS #COWBOYS #TEXAS #TEX #TX,2
1080,@3thunderty No worries...we gonna take them Redskins out next sunday,2
1081,Been waiting a long time to promote in the neighborhood #redskins #httr http://t.co/C7TxuSkf,2
1082,cowboys/Redskins game moved to Sunday at 8:30 ! #Primetime,4
1083,This redskins game on Sunday night is going to be crazy as shit,4
1084,"@Chadwick180 @joe_theshow180 I concur, need to brush up on #NFL though #RG3 #OYB",2
1085,@MiSsB_Lashea redskins and cowboys next week at 8:20 NFC East championship lol,2
1086,Retweet if you going to the redskins vs cowboys game.,2
1087,COWBOYS VS REDSKINS MOVED TO SUNDAY NITE WTF,4
1088,RT @ESPNDallas: Dallas Cowboys-Washington Redskins battle for NFC East title moved to prime time http://t.co/OfvaQNxy,2
1089,"from last night... Ten Observations: #Redskins 27, Eagles 20 |  http://t.co/Hcao53IO",2
1090,It's crazy we beat the boys next week we win the division crazy#redskins,2
1091,Cowboys/Redskins game moved to Sunday night slot,4
1092,#Redskins #NFL http://t.co/ANzsQTfS,2
1093,RT @DC_Architect911: Can't wait till Sunday night #redskins,4
1094,"Tony Romo, Dallas Cowboys Playoff Dreams Still Alive - Fox News http://t.co/Hoz4fD9X #NFL #DallasCowboys",2
1095,"@ESPN_FirstTake oh dem cowboys r going to take it book i refuse to believe dat the ""WASHINGTON REDSKINS"" (Stephen a voice) will put us out",2
1096,Finally an actual Redskins vs Dallas game that means something,2
1097,@pdOT_cash_ave i meant to tell u but i fell asleep ok ! Giants have 2beat the eagles then redskins have to beat cowboys then they playoff,2
1098,"#HailYeah “@Redskins: Mission ""#BeatPhilly for Six Straight Wins"" Accomplished! #HTTR #RedskinsNation http://t.co/F1Xtal6m”",2
1099,PHOTO: Harper rocks #RG3 socks in church http://t.co/FSKXx8TB #Nats #Redskins #NFL #RedskinsTalk,2
1100,"I'm going to guess its the Cowboys right?  Two NFL network dudes did ""@BigManPauly: It seems that Jaws, from ESPN has made his prediction.""",2
1101,@SportsCenter @dallascowboys @Redskins - whats  Romos record in December?  and lost yesterday to a bad team?  Really?,2
1102,RT @JoeyLeall: cowboys/Redskins game moved to Sunday at 8:30 ! #Primetime,4
1103,"#TwitNewsNow New Orleans Saints 34, Dallas Cowboys 31: Stats that stand out http://t.co/MbwljEFG #NFL",2
1104,Haha! Cant wait for Sunday night. #BeScaredOfBlackJesus! #Sweep RT @BP1892: Fuck the Redskins #Cunts,4
1105,"RT @john_keim: from last night... Ten Observations: #Redskins 27, Eagles 20 |  http://t.co/Hcao53IO",2
1106,"RT @Jsamsoniite: If Minnesota and Chicago both lose Sunday afternoon, the Redskins will clinch a playoff spot before they even kick off  ...",2
1107,"RT @HichenbergSKINS: Mara & Goodell STOLE cap money from the Redskins & Cowboys, yet we're (cont) http://t.co/eqztHaKS",2
1108,"It's Dallas Week, so just watch this on repeat @Redskins http://t.co/z8pOoTyc #HTTR",2
1109,"#TwitNewsNow Golden: After hard-fought loss, it’s not over for Cowboys http://t.co/ROfBzJsl #NFL",2
1110,@lagloriacubano @sportscenter @dallascowboys @redskins oh I know... Cost me lots of money.,2
1111,#Redskins .. #Knicks at the Top its just Us !!,2
1112,@_JakeRussell throwback uniforms #Redskins,2
1113,“@TheJadax: It's our turn #REDSKINS” #NoQuestion,1
1114,Do the Redskins HAVE to wear their Throwback unis on Sunday Night???  Maybe I'm just superstitious but it seems like bad luck.,2
1115,With the Doc Saturday night @Redskins http://t.co/QWP7LC3N,4
1116,Dallas Redskins game moved to prime time.  Winner takes division & playoff spot. Doesn't get any better than that.,4
1117,"Although I'm an NY fan, I'm already excited for this Redskins vs Cowboys game!!!! My money is on RGIII if anyone is looking to bet...",2
1118,@SportsCenter @dallascowboys @Redskins oh the skins are still getting NO love. It's cool we're used to it. Just win and shut everyone up,2
1119,@Redskins free Cooley,2
1120,Just Added: NFL Moves Cowboys/Redskins To Sunday Night With Their Flex Scheduling  http://t.co/kyGcA59L,4
1121,"RT @Redskin_Girl: @Jarvis99jenkins We still trippin down in South Carolina Love the Redskins ,now going to boil some peanuts for Christm ...",2
1122,so the dallas vs redskins game is now at 8:20pm cuz they want it prime time for Sunday night football #i #can #dig #it,4
1123,@Pretty_BYRDie mind joe business! Or the redskins vs. cowboys game on Sunday night...you pick,4
1124,No redskins game for me:(,4
1125,How bout Trent Richardson as write-in @BonnieBernstein: Today @dpshow Poll Question: Who should be NFL Off Rookie of Yr: Luck/RGIII/RWilson?,2
1126,RT @redcarpetcrash: Just Added: NFL Moves Cowboys/Redskins To Sunday Night With Their Flex Scheduling  http://t.co/kyGcA59L,4
1127,Redskins close in on division title; Week 16 NFL roundup http://t.co/yz8DpxzW,2
1128,Everything in me says Redskins win next weekend but I just have a weird feeling romo is gonna pull it off. #cantwait #cowboys,2
1129,Already 5x more action on Cowboys-Redskins in Vegas than any other game.  (via http://t.co/iUMuou9R),4
1130,The redskins cowboys game being moved to 820 made it even more nerve-wrecking,4
1131,cowboys have a shot with 7 defensive starters out#nextmanup!!!@sportscenter @dallascowboys @redskins,2
1132,“@ESPNNFL: BREAKING: Cowboys at Redskins flexed to Sunday Night Football on NBC - 820pm ET” I am going to this game!!! #AHHHHHHHH #SOAWESOME,4
1133,RT @_OtisJenkins: Redskins are going to win the nfc east @ESPN_FirstTake,2
1134,@robcarpenter81 like Seahawks and Redskins did great last season,2
1135,Redskins | Robert Griffin effective throwing the deep ball http://t.co/XswL8uvY,2
1136,The Redskins Encyclopedia http://t.co/LnGOdVlF,2
1137,@Redskins  One more game!! #BeatDownDallas,2
1138,#NFL Jason Witten sets TE record in Cowboys loss http://t.co/BNiS4toO #SportsRoadhouse,2
1139,Redskins vs. Cowboys moved to primetime...this shit gon be good #HTTR,2
1140,Cowboys vs. Redskins For the Division Title moved to Primetime! #CANTWAIT #CowboysNation,2
1141,Cowboys Redskins Sunday night!  Win and your in...,4
1142,Face-Off: Redskins will win the NFC East http://t.co/O9fXbGRX #HTTR #HTRG,2
1143,"@SportsCenter @dallascowboys @redskins You forget 1 thing jaws.. R G 3!!! If u think what russ did to niners was nasty, just wait to see ths",2
1144,RT @_EIIiott: awww yeah RT @ESPNNFL: BREAKING: Cowboys at Redskins flexed to Sunday Night Football on NBC - 820pm ET,4
1145,@SimoneBett  - I am back - I am here - go REDSKINS !,2
1146,Who trynna bet on this redskins cowboys game?,2
1147,#Chargers coming to DC n at #Redskins next season !!! Oh yes !!! I will be THERe!!!!,2
1148,@MrHugo27 come on home to the redskins man. Lol,2
1149,"@Marcel_Brown94 True, but would you still give it RG3 if Redskins don't reach playoffs?",2
1150,Cowboys playoff picture is clear: beat the Redskins next week and they're in http://t.co/rpIsE94m,2
1151,"“@C_clarke_3: Retweet if you going to the redskins vs cowboys game.” not to the actual game, but going to watch it if you wanna join.",2
1152,How about them Redskins though 👌👍💯,2
1153,"@PaulLicini no bc even if the giants have the same record as the redskins, the redskins have better criteria so they need to win the wildcar",2
1154,RT @GStar__Raw: “@TheJadax: It's our turn #REDSKINS” #NoQuestion,1
1155,RG3 reportedly OK to start for Washington Redskins http://t.co/FjezF0Hp,2
1156,Working today 11-4 then off to get my nails done.... gonna Rep my team #HTTR #Redskins #girlproblems,2
1157,RT @wordplayy_dre: Cowboys/Redskins game moved to Sunday night slot,4
1158,http://t.co/yf1ajJuG #teamfollowback #NFL #NowPlaying #NowFollowing #RETWEET #Support #shoutout #Salute #Cowboys @BlogTalkRadio_,2
1159,"#Chargers playing #Redskins next season at DC! 
Oh I’m going to that game!!!",2
1160,Why wouldn't the Redskins have the tiebreaker over Dallas even if Dallas does win? Ties in division. Skins better Division record.,2
1161,We Will Beat The Redskins. #Cowboysnation,2
1162,"RT @SuperSkin1: If you attend #Redskins games and show up in time for the 2nd Quarter,  please watch at home Sunday Night.  #SNFonNBC",4
1163,“@boyscomedy: What does a Cowboys fan do after they win an NFL game? Turn off the xbox and go to bed.” @BrandonJL_  hahaha 😂😂,2
1164,@dallascowboys WELL OUR SECONDARY LOST THE GAME FOR US AGAIN. WAY TO GO DALLAS.,2
1165,@_TheRealSito cowboys redskins next sunday,4
1166,@SportsCenter @dallascowboys @redskins Don't forget @RGIII,2
1167,RT @Jarrettjack03: What she said!!! redskins all day RT @TherealTaraji: How about those Skinz?!?! ☝,2
1168,"Happy Holidays
  Santa Tracker
  NFL playoff picture
  Dallas Cowboys
  Russell Wilson
  Sound of Music
  Bruno ...  http://t.co/10btWOwP",2
1169,"Happy Holidays, Santa Tracker, NFL playoff picture, ...: Happy Holidays
  Santa Tracker
  NFL playoff picture
  Dallas Cowboys
  Russ...",2
1170,"Happy Holidays
  Santa Tracker
  NFL playoff picture
  Dallas Cowboys
  Russell Wilson
  Sound of Music
  Bruno ...  http://t.co/Ag8B20Sw",2
1171,"Trending Online: Happy Holidays
  Santa Tracker
  NFL playoff picture
  Dallas Cowboys
  Russell Wilson
  Sound o...",2
1172,"Happy Holidays
  Santa Tracker
  NFL playoff picture
  Dallas Cowboys
  Russell Wilson
  Sou...  http://t.co/upE1x2FT",2
1173,Week 17: NFL Flexes Dallas Cowboys vs. Washington Redskins Game For Sunday Night Football http://t.co/7SbTREeP via @BallHyped,4
1174,#Eagles bow out at home to #Redskins: The Morning After  @steveolenski  http://t.co/SGB3ug6u,2
1175,#Knicks #Hoyas #Wolverines #Redskins,2
1176,"RT @g00gletrends: Happy Holidays
  Santa Tracker
  NFL playoff picture
  Dallas Cowboys
  Russell Wilson
  Sound of Music
  Bruno ...  h ...",2
1177,#Hail to the Redskins #HTTR,8
1178,RT @inRICHweTRUST: @_TheRealSito cowboys redskins next sunday,4
1179,"Eagles vs. Redskins: Final Report Card, Player Grades for Washington | Bleacher Report http://t.co/o5SQNVdy via @bleacherreport",2
1180,NFC East Showdown Flexed To Prime Time: NEW YORK (AP) — The Dallas Cowboys-Washington Redskins game that will de... http://t.co/fJQO5ta8,2
1181,Damn right! RT @dallascowboys: RT @ESPNNFL: BREAKING: Cowboys at Redskins flexed to Sunday Night Football on NBC - 820pm ET,4
1182,@ESPN_FirstTake Washington Redskins.,2
1183,I have always hated redskins but I'd be a complete hater to talk shit bein they have potential this season RG3 has heart. Nothin but respect,2
1184,"""If the #Redskins lose..."" Yeah right! You wish #cowgirls @TheHogsdotNet @NoeSkin @RedskinsPonch #HTTR #RedskinsTalk",2
1185,@SportsCenter @dallascowboys @Redskins I could have said that.....and he list yesterday right? Come on!,2
1186,no caps RT @Lizzs_Lockeroom: #Knicks #Hoyas #Wolverines #Redskins,2
1187,#Redskins-#Cowboys Week 17 game is moved to prime time on NBC: http://t.co/GWJFWRud,4
1188,RT @kita_skinsbaby: ITS A GOOD DAY TO BE A REDSKINS FAN #HTTR #HAILYEAH,2
1189,NFL flexes Dallas Cowboys-Washington Redskins game http://t.co/TO8JZmNt,2
1190,Make da playoffs first lolRT @Ki2YourHeart_: @MrHugo27 come on home to the redskins man. Lol,2
1191,It's fin to get REAL at FedEx on Sunday night #HTTR #RG3TV #Redskins,4
1192,RT @StevensJonah: “@boyscomedy: What does a Cowboys fan do after they win an NFL game? Turn off the xbox and go to bed.” @BrandonJL_  ha ...,2
1193,RT @Suck_Mi_Pum_Pum: I have always hated redskins but I'd be a complete hater to talk shit bein they have potential this season RG3 has  ...,2
1194,I cool with Georgetown but that's where it stops Lol RT @Lizzs_Lockeroom: #Knicks #Hoyas #Wolverines #Redskins,2
1195,"@Redskins were going to win on sunday, but if we don't, who is the divisional champ? #RedskinsNation",2
1196,He's still Romo. He'll find a way to lose. @SportsCenter @dallascowboys @Redskins,2
1197,@TheJadax #REDSKINS #notfollowed #HTTR,1
1198,Even though we lost yesterday... We always make shit interesting. BUT we can not fall to far behind the redskins. Like game one against em.,2
1199,“@TheJadax #REDSKINS fans let me know if I'm not following back”<<get me,2
1200,Cowboys vs Redskins has been moved to Sunday night football 😁,4
1201,RT @Lizzs_Lockeroom: #Knicks #Hoyas #Wolverines #Redskins,2
1202,@Sinclair_Alex the redskins Dallas game is a 1 o'clock start! Why do they do this to me,2
1203,"Because some have asked, if Chicago and Minnesota lose Sunday, the #Redskins are in regardless of whether they beat Dallas or not.",2
1204,"Faltou combinar isso com RG3 RT @Louidy_: @nfldeboteco 100%, Os Cowboys não perdem para o redskins",2
1205,"RT @MFORREST_SR: #HailYeah “@Redskins: Mission ""#BeatPhilly for Six Straight Wins"" Accomplished! #HTTR #RedskinsNation http://t.co/F1Xtal6m”",2
1206,"RT @rdragonne: ""If the #Redskins lose..."" Yeah right! You wish #cowgirls @TheHogsdotNet @NoeSkin @RedskinsPonch #HTTR #RedskinsTalk",2
1207,PLÈEEEEEÈEEEEEEEASE ket Tanny get canned...Please ALSO let them not sign Vick or the Redskins old GM,2
1208,@SportsCenter @dallascowboys @Redskins. The dude is playing lights out.  Rob Ryan will come up with a great plan to stop RGIII,2
1209,"Redskins,Lakers are the best",1
1210,"RT @HomerMcFanboy: ... if Chicago AND Minnesota lose Sunday, the #Redskins are in regardless of whether they beat Dallas or not.",2
1211,@Giiiles don't feed me that. You and I both know the only reason you RTed that was cause it was bad about the Redskins.,2
1212,#Google #Hot #News Dallas Cowboys: Players Who Must Step Up in Tell-All Game Against Redskins http://t.co/BUMq6nLB #TeamFollowBack YANews,2
1213,RT @SimplyTheeBestt: MY REDSKINS WON. COWBOYS LOST & THE GIANTS TAKING THIS L. Good Sunday #HTTR,2
1214,@JiggaGstylz @espnnfl @dallascowboys @redskins I believe it's the perfect turn of events,2
1215,RT @AEBII_89: We Will Beat The Redskins. #Cowboysnation,2
1216,REDSKINS GOING THE DISTANCE.,2
1217,RT @ChrisBallejos: S/O to the only 2 Redskins fans I follow (I think) @BigBennyRadio and @MrLujan! Next Sunday Night! Bout to be a war!,2
1218,I want my TL 99% redskins tweets....rest of y'all fucks gotta go,1
1219,RT @Tr3y__: It's fin to get REAL at FedEx on Sunday night #HTTR #RG3TV #Redskins,4
1220,Panthers and Redskins win --- some days my hubby is just oh so happy!,2
1221,Merry Christmas from the Washington Redskins III #pancakesbitches,2
1222,Saints' Greer sustains concussion vs. Cowboys http://t.co/EBU83B3q,2
1223,“@TheJadax: I want my TL 99% redskins tweets....rest of y'all fucks gotta go” NOPE LOL,1
1224,We need lions . We need redskins. We need packers. And we need some SUPER BOWL CHAMPION GIANTS FOOTBALLLLLLLLLL,2
1225,"“With his 17th, Redskins' K Kai #Forbath set a new mark for consecutive field goals made to start a career: http://t.co/b4jhDgmL",2
1226,I'm going to buy Falcons playoff tickets when they release on Thursday hoping the Redskins play them. So don't blow it Skins.,2
1227,"RT @Tr3y__: RT @HomerMcFanboy: ... if Chicago AND Minnesota lose Sunday, the #Redskins are in regardless of whether they beat Dallas or not.",2
1228,"Asked if he felt like himself,Rg3 replies“We won the game.I was playing quarterback for the Redskins,so I felt like myself out there.”#HTRG3",2
1229,At the NFL Dallas Cowboys vs New Orleans Saints Match! http://t.co/F5xzZ3es,2
1230,Patriots RT @TheJadax: I want my TL 99% redskins tweets....rest of y'all fucks gotta go,1
1231,I'm ready to hunt Cowboys Sunday night... Who's with me.... HAIL TO THE REDSKINS! #HTTR,4
1232,RT @purpleraiders: Former @purpleraiders WR @PierreGarcon had 7 catches for 89 yards in #redskins 27-20 win over #eagles #nfl #d3fb,2
1233,“@ESPNDallas: Redemption is just a week away for #Cowboys. Will they make the playoffs? http://t.co/QYRIIWjf”,2
1234,@espn_nfceast Why would the Cowboys win the division whit a win..when The Redskins have a better conf record and the exact division record,2
1235,Redskins’ Update: Cousins to Start Sunday... http://t.co/5eB4p9fa,2
1236,- Happy Holidays - Santa Tracker - NFL playoff picture - Dallas Cowboys - Russell Wilson - Sound of Music - Bruno…,2
1237,Dallas Cowboys Fleece Tie Blanket  http://t.co/Ge4LRQYz  #dallascowboys #tonyromo #cowboysbaby #nfl #football #birthdaygiftidea #crafts,2
1238,Lmao RT @BraggHill_Crazy: Merry Christmas from the Washington Redskins III #pancakesbitches,2
1239,@ESPN_FirstTake I believe RG3 will lead the Redskins to victory next week against Cowboys and taking NFC east. He's special!,2
1240,RT @nfl League flexes Dallas Cowboys-Washington Redskins game for Sunday night. http://t.co/zMN8ITXJ #DALvsWAS #SNF,4
1241,Washington Redskins: How to Beat the Philadelphia Eagles http://t.co/GpnvaRLD #NFL,2
1242,RT @Nico50Goffredo: Cowboys vs. Redskins For the Division Title moved to Primetime! #CANTWAIT #CowboysNation,2
1243,They are locked out RT @ImThatRealMF: no caps RT @Lizzs_Lockeroom: #Knicks #Hoyas #Wolverines #Redskins,2
1244,"2012 #AFC Playoff Field is SET: #Texans, #Broncos, #Patriots, #Ravens, #Colts, & #Bengals. #NFL #HTTR #SKINS #REDSKINS #WashDC #DC #DMV",2
1245,@niecebby__ so how bout them redskins!!!!👍👌😁😁,7
1246,@G_MUCKA if we beat the redskins were in,2
1247,RT @CashJunkieTae: @niecebby__ so how bout them redskins!!!!👍👌😁😁,7
1248,@TheHerd why aren't the Redskins automatically in with Gmen and Cowboys losses yesterday?,2
1249,"RT @TheWaiverHounds: “With his 17th, Redskins' K Kai #Forbath set a new mark for consecutive field goals made to start a career: http:// ...",2
1250,"RT @john_keim: Man, Santana Moss got a clean bounce on that backwards pass. If not clean, 4-6 Eagles in good position scoop/score. #redskins",2
1251,“@dallascowboys “@ESPNNFL BREAKING: Cowboys at Redskins flexed to Sunday Night Football on NBC - 820pm ET””,4
1252,#Cowboys' Jason Witten has new title: Mr. NFL single-season TE reception record-holder: http://t.co/SrzLhzjL,2
1253,RT @csnwashington: PHOTO: Harper rocks #RG3 socks in church http://t.co/FSKXx8TB #Nats #Redskins #NFL #RedskinsTalk,2
